NO_2,PM10,O_3,CO,SO_2,year
62.93993943868913,34.61316974227769,31.55561871355294,0.921079716191773,18.49578427596118,2001.0
61.66362688207978,33.250969593141505,32.92475419908511,0.7604595305957522,13.060236371111596,2002.0
58.3853033597134,35.53348313147003,36.90508871636812,0.7022600897968038,12.352838431552346,2003.0
60.75353172670427,33.47587481450232,33.14572109551143,0.6539823989999233,11.357235530650021,2004.0
61.8340389605763,34.23704329083871,34.59978806999776,0.6523063238446386,11.81209576297778,2005.0
60.60171612603303,36.897289356028395,34.67122358185169,0.5760811174525771,10.758793453656768,2006.0
60.02002183663148,33.13886791018601,34.45791470526514,0.4971420827120202,10.932465733784664,2007.0
55.357310672954426,26.61138138924079,39.041715964813676,0.41205578435359497,10.56353589496326,2008.0
54.34900537610667,24.52275586708758,44.69733173855419,0.39361880980163755,10.280341434844301,2009.0
44.27287001699447,21.84205259553037,47.65774689100328,0.3571812447173309,9.702430534866316,2010.0
44.87739591957846,23.285083533369967,44.994321301266034,0.3677984837091604,6.925976515421081,2011.0
38.654373641874116,23.59860149199626,41.17209891681995,0.355028253087328,4.3731891941412915,2012.0
34.71286659907023,18.374409309191293,50.01993532713962,0.32876517699300795,4.4201931922723094,2013.0
35.04427867833405,19.286675807054717,51.647011925994725,0.36816913019075637,5.022483387083816,2014.0
40.9791312427855,21.01914672013861,50.58756169792695,0.36655724666840106,6.881249424546542,2015.0
38.557351742653054,19.150210921249588,49.0766107736995,0.3549256364571387,7.690883936149187,2016.0
41.584459507943414,19.946518261003177,48.32445791867132,0.36388132698026543,6.852107888885048,2017.0
38.632202946560895,13.519682479477662,44.86356713026542,0.3444331835704493,5.388721751906528,2018.0
